S.no,WWR,AR,ORIN,OVERHANG,SHGC,ENERGY,,,
18391,0.05,3,34,23,0.2,102,,,
18392,0.05,3,34,28,0.2,102,,,
18393,0.05,3,34,34,0.2,102,,,
18394,0.05,3,34,39,0.2,102,,,
18395,0.05,3,34,45,0.2,102,,,
18430,0.05,3,34,39,0.26,102,,,
18431,0.05,3,34,45,0.26,102,,,
18483,0.05,3,34,34,0.24,102,,,
18484,0.05,3,34,39,0.24,102,,,
18485,0.05,3,34,45,0.24,102,,,
18537,0.05,3,34,34,0.26,102,,,
18538,0.05,3,34,39,0.26,102,,,
18539,0.05,3,34,45,0.26,102,,,
18933,0.14,1,34,34,0.2,102,,,
18934,0.14,1,34,39,0.2,102,,,
18935,0.14,1,34,45,0.2,102,,,
19025,0.14,1,34,45,0.24,102,,,
19079,0.14,1,34,45,0.26,102,,,
19115,0.14,2,34,45,0.2,102,,,
27000,0.05,1,51,2,0.37,102,,,
27001,0.05,1,51,7,0.37,102,,,
27002,0.05,1,51,12,0.37,102,,,
27003,0.05,1,51,18,0.37,102,,,
27004,0.05,1,51,23,0.37,102,,,
27005,0.05,1,51,28,0.37,102,,,
27006,0.05,1,51,34,0.37,102,,,
27007,0.05,1,51,39,0.37,102,,,
27008,0.05,1,51,45,0.37,102,,,
27017,0.05,1,51,45,0.66,102,,,
27019,0.05,1,51,7,0.44,102,,,
27020,0.05,1,51,12,0.44,102,,,
27021,0.05,1,51,18,0.44,102,,,
27022,0.05,1,51,23,0.44,102,,,
27023,0.05,1,51,28,0.44,102,,,
27024,0.05,1,51,34,0.44,102,,,
27025,0.05,1,51,39,0.44,102,,,
27026,0.05,1,51,45,0.44,102,,,
27027,0.05,1,51,2,0.2,102,,,
27028,0.05,1,51,7,0.2,102,,,
27029,0.05,1,51,12,0.2,102,,,
27030,0.05,1,51,18,0.2,102,,,
27031,0.05,1,51,23,0.2,102,,,
27032,0.05,1,51,28,0.2,102,,,
27033,0.05,1,51,34,0.2,102,,,
27034,0.05,1,51,39,0.2,102,,,
27035,0.05,1,51,45,0.2,102,,,
27052,0.05,1,51,39,0.68,102,,,
27053,0.05,1,51,45,0.68,102,,,
27060,0.05,1,51,34,0.65,102,,,
27061,0.05,1,51,39,0.65,102,,,
27062,0.05,1,51,45,0.65,102,,,
27063,0.05,1,51,2,0.26,102,,,
27064,0.05,1,51,7,0.26,102,,,
27065,0.05,1,51,12,0.26,102,,,
27066,0.05,1,51,18,0.26,102,,,
27067,0.05,1,51,23,0.26,102,,,
27068,0.05,1,51,28,0.26,102,,,
27069,0.05,1,51,34,0.26,102,,,
27070,0.05,1,51,39,0.26,102,,,
27071,0.05,1,51,45,0.26,102,,,
27078,0.05,1,51,34,0.68,102,,,
27079,0.05,1,51,39,0.68,102,,,
27080,0.05,1,51,45,0.68,102,,,
27083,0.05,1,51,12,0.42,102,,,
27084,0.05,1,51,18,0.42,102,,,
27085,0.05,1,51,23,0.42,102,,,
27086,0.05,1,51,28,0.42,102,,,
27087,0.05,1,51,34,0.42,102,,,
27088,0.05,1,51,39,0.42,102,,,
27089,0.05,1,51,45,0.42,102,,,
27106,0.05,1,51,39,0.61,102,,,
27107,0.05,1,51,45,0.61,102,,,
27117,0.05,1,51,2,0.24,102,,,
27118,0.05,1,51,7,0.24,102,,,
27119,0.05,1,51,12,0.24,102,,,
27120,0.05,1,51,18,0.24,102,,,
27121,0.05,1,51,23,0.24,102,,,
27122,0.05,1,51,28,0.24,102,,,
27123,0.05,1,51,34,0.24,102,,,
27124,0.05,1,51,39,0.24,102,,,
27125,0.05,1,51,45,0.24,102,,,
27152,0.05,1,51,45,0.73,102,,,
27157,0.05,1,51,23,0.56,102,,,
27158,0.05,1,51,28,0.56,102,,,
27159,0.05,1,51,34,0.56,102,,,
27160,0.05,1,51,39,0.56,102,,,
27161,0.05,1,51,45,0.56,102,,,
27166,0.05,1,51,23,0.59,102,,,
27167,0.05,1,51,28,0.59,102,,,
27168,0.05,1,51,34,0.59,102,,,
27169,0.05,1,51,39,0.59,102,,,
27170,0.05,1,51,45,0.59,102,,,
27171,0.05,1,51,2,0.26,102,,,
27172,0.05,1,51,7,0.26,102,,,
27173,0.05,1,51,12,0.26,102,,,
27174,0.05,1,51,18,0.26,102,,,
27175,0.05,1,51,23,0.26,102,,,
27176,0.05,1,51,28,0.26,102,,,
27177,0.05,1,51,34,0.26,102,,,
27178,0.05,1,51,39,0.26,102,,,
27179,0.05,1,51,45,0.26,102,,,
27182,0.05,2,51,12,0.37,102,,,
27183,0.05,2,51,18,0.37,102,,,
27184,0.05,2,51,23,0.37,102,,,
27185,0.05,2,51,28,0.37,102,,,
27186,0.05,2,51,34,0.37,102,,,
27187,0.05,2,51,39,0.37,102,,,
27188,0.05,2,51,45,0.37,102,,,
27202,0.05,2,51,23,0.44,102,,,
27203,0.05,2,51,28,0.44,102,,,
27204,0.05,2,51,34,0.44,102,,,
27205,0.05,2,51,39,0.44,102,,,
27206,0.05,2,51,45,0.44,102,,,
27207,0.05,2,51,2,0.2,102,,,
27208,0.05,2,51,7,0.2,102,,,
27209,0.05,2,51,12,0.2,102,,,
27210,0.05,2,51,18,0.2,102,,,
27211,0.05,2,51,23,0.2,102,,,
27212,0.05,2,51,28,0.2,102,,,
27213,0.05,2,51,34,0.2,102,,,
27214,0.05,2,51,39,0.2,102,,,
27215,0.05,2,51,45,0.2,102,,,
27242,0.05,2,51,45,0.65,102,,,
27243,0.05,2,51,2,0.26,102,,,
27244,0.05,2,51,7,0.26,102,,,
27245,0.05,2,51,12,0.26,102,,,
27246,0.05,2,51,18,0.26,102,,,
27247,0.05,2,51,23,0.26,102,,,
27248,0.05,2,51,28,0.26,102,,,
27249,0.05,2,51,34,0.26,102,,,
27250,0.05,2,51,39,0.26,102,,,
27251,0.05,2,51,45,0.26,102,,,
27267,0.05,2,51,34,0.42,102,,,
27268,0.05,2,51,39,0.42,102,,,
27269,0.05,2,51,45,0.42,102,,,
27297,0.05,2,51,2,0.24,102,,,
27298,0.05,2,51,7,0.24,102,,,
27299,0.05,2,51,12,0.24,102,,,
27300,0.05,2,51,18,0.24,102,,,
27301,0.05,2,51,23,0.24,102,,,
27302,0.05,2,51,28,0.24,102,,,
27303,0.05,2,51,34,0.24,102,,,
27304,0.05,2,51,39,0.24,102,,,
27305,0.05,2,51,45,0.24,102,,,
27339,0.05,2,51,34,0.56,102,,,
27340,0.05,2,51,39,0.56,102,,,
27341,0.05,2,51,45,0.56,102,,,
